   0.10240    0.15605 -134.70700
   0.09883    0.72635 -134.23100
   0.09526    0.59340 -134.11100
   0.09169   -0.14818 -133.75400
   0.08812   -0.93322 -133.63500
   0.08455    0.66222 -133.87300
   0.08098    0.67439 -133.87300
   0.07741    0.96304 -134.23100
   0.07384   -0.64614 -133.51500
   0.07027    0.15175 -132.80000
   0.06670   -0.74214 -132.08500
   0.06313   -0.71415 -131.48900
   0.05956    1.05211 -130.77400
   0.05599   -0.29928 -129.70100
   0.05242   -1.89538 -129.10500
   0.04885    0.05081 -127.91200
   0.04528    0.21946 -127.19700
   0.04171    0.31663 -126.36300
   0.03814   -0.23965 -125.52800
   0.03457   -0.41446 -124.57500
   0.03100   -0.14439 -124.33600
   0.02743   -0.80719 -122.78600
   0.02386   -0.96167 -121.59400
   0.02029   -1.72355 -120.40200
   0.01672   -1.23053 -119.56700
   0.01315    0.35384 -117.18300
   0.00958   -1.65866 -115.39500
   0.00601   -0.71910 -112.89200
   0.00244   -2.21556 -110.15000
  -0.00113   -1.62918 -107.17000
  -0.00470   -0.94856 -103.95100
  -0.00827   -0.64834 -100.85200
  -0.01184   -0.90889  -96.79840
  -0.01541   -1.56950  -91.43400
  -0.01898   -0.74130  -86.30800
  -0.02255   -2.13173  -80.70520
  -0.02612   -3.26426  -72.83730
  -0.02969   -2.90752  -63.41980
  -0.03327   -6.35188  -51.73710
  -0.03683  -12.69777  -35.88220
  -0.03683  -17.66432  -33.37880
  -0.03684  -17.85611  -32.90200
  -0.03684  -16.48287  -32.54440
  -0.03685  -17.67738  -32.66360
  -0.03685  -16.14530  -33.14040
  -0.03685  -16.22861  -33.49800
  -0.03685  -16.63286  -33.25960
  -0.03686  -17.43362  -33.73650
  -0.03686  -16.65089  -33.02120
  -0.03687  -16.79677  -33.14040
  -0.03687  -17.26150  -33.14040
  -0.03687  -17.89830  -33.49800
  -0.03688  -16.94479  -33.37880
  -0.03688  -17.17420  -33.37880
  -0.03688  -16.33592  -32.90200
  -0.03689  -17.12923  -33.14040
  -0.03689  -17.00467  -32.78280
  -0.03689  -16.21811  -31.47150
  -0.03690  -16.70316  -32.78280
  -0.03690  -17.45056  -33.37880
  -0.03690  -15.16149  -33.61730
  -0.03691  -14.94512  -33.49800
  -0.03691  -15.60379  -33.14040
  -0.03691  -15.51994  -32.54440
  -0.03692  -17.07356  -31.94830
  -0.03692  -18.13977  -32.30600
  -0.03692  -16.90256  -32.42520
  -0.03693  -17.82782  -32.54440
  -0.03693  -18.17628  -32.54440
  -0.03694  -17.39622  -32.54440
  -0.03694  -17.12050  -31.94830
  -0.03694  -16.78165  -32.90200
  -0.03695  -16.80453  -32.78280
  -0.03695  -17.83914  -32.90200
  -0.03695  -14.86916  -32.54440
  -0.03696  -17.91310  -32.54440
  -0.03696  -16.52039  -32.30600
  -0.03696  -16.89849  -32.66360
  -0.03697  -17.37242  -32.90200
  -0.03697  -16.75431  -32.18670
  -0.03697  -18.16146  -31.82910
  -0.03698  -17.06605  -31.47150
  -0.03698  -15.94218  -31.94830
  -0.03698  -17.16020  -32.30600
  -0.03699  -16.67514  -31.70990
  -0.03699  -16.26402  -31.70990
  -0.03699  -16.57424  -31.35230
  -0.03700  -15.12411  -31.35230
  -0.03700  -15.27397  -31.23310
  -0.03701  -15.39883  -31.35230
