M,m,b,Archivo
-32.31272476744186,-0.02701476862116136,90.77228409547618,0
-35.354205693548394,-0.022111304172647353,88.79450826471252,0
-37.61874016129032,-0.03220322580645148,95.01793225806443,0
-38.36738144444444,-0.03144273504273521,94.67694472934483,0
-40.13227633333333,0.0894000000000048,19.406199999996986,0
-40.6019178,-0.010217142857143254,82.40141333333358,0
-41.2914454,0.07748000000000134,25.986039999999136,0
-42.71872759375,-0.01981568914956011,89.3427254398827,0
-48.520508888888884,-0.005959999999999612,80.80678222222194,0
-49.57210536363636,-0.010294545454545239,83.83921818181804,0
-54.22601287804877,-0.015879634146341436,90.88500719512193,0
-55.8625538,-0.008306785714285374,85.5368560714283,0
-56.90696233333333,0.08944999999999932,11.481450000000521,0
-60.307803285714286,0.010642857142857209,76.63992857142853,0
-61.43670905263158,-0.01610245614035142,97.71303964912322,0
-62.73660675,0.03576000000000193,56.91317999999848,0
-73.55415733333334,-0.13259701298701265,198.07727341991315,0
-75.82027538461537,-0.010665263157894633,99.04494064777322,0
-76.99996828571429,0.01915714285714236,73.6071142857147,0
-79.14964336363636,0.02546545454545463,69.67837454545449,0
-87.818140125,0.017738095238095344,80.01025714285704,0
-88.091296,-0.007585454545454175,102.37577636363605,0
-96.45239350000001,-0.06631259029927745,158.54651162710684,0
-102.87797971428571,-0.003569786535304068,104.83318637110042,0
-104.67902842857144,0.02346428571428609,79.43974999999966,0
-112.92970525925926,-0.0024554334554335554,106.55243019943029,0
-114.25377475999998,0.006987692307692221,97.75846153846163,0
-116.39547700000001,0.11899999999999973,-14.47133333333305,0
-129.32379824999998,-0.01703571428571442,129.148392857143,0
-129.06723885714285,0.02346428571428609,88.26603571428534,0
-132.86152114285716,0.034071428571428836,78.88807142857118,0
-134.4318899375,-0.000989705882353069,115.35020588235308,0
-135.231972,0.04189285714285619,70.60060714285814,0
-138.029223,0.0026057816956183938,112.51278774522508,0
-139.1942892857143,0.006169230769230869,108.62287692307684,0
-142.41653807894738,0.001365904365904357,114.50975380238539,0
-143.7914306060606,0.002646390374331648,113.05352205882343,0
-151.93384016666667,0.03399999999999994,78.55733333333339,0
-155.0314279411765,0.009639705882352995,108.89210294117639,0
-159.89877084090907,0.002102043692741349,119.7306550387597,0
-160.12107985714286,0.025607142857143314,89.93299999999942,0
-160.74204600000002,0.018000000000000693,99.64549999999912,0
-161.5863737777778,-0.010738705738705568,137.10044485144465,0
-167.684542875,0.0020210777126099854,122.50346847507329,0
-168.49784836842107,-0.003629499945289413,130.2779409125725,0
-169.5354125,0.012099999999995252,108.78890000000655,0
-171.84571845833335,0.004731928098270005,119.30781136514673,0
-175.770693453125,-0.0008295558608058863,129.15568166208794,0
-21.15478797368421,-0.018185797133165576,34.35432902943429,1
-23.20860670037453,-0.029760178683334183,36.90989556038343,1
-26.452089923076922,-0.008516483516483556,27.411742857142876,1
-27.475063799999997,-0.015112857142857055,33.90168666666662,1
-28.515225056179776,-0.025968779366700702,39.97977841675178,1
-29.988016199999997,-0.011919999999999932,31.72111999999996,1
-32.42082985714286,-0.028258496070010547,42.69588225157336,1
-34.9131054,-0.010435686274509852,31.394680392156896,1
-38.85862834999999,-0.023571127819548936,41.1763790977444,1
-42.444800888888885,-0.03775166666666686,52.103282777777906,1
-52.583668,0.10728000000000013,-45.62736000000008,1
-55.406015363636364,0.005959999999999967,26.49642545454547,1
-59.062058280701756,-0.00895518537723622,39.26319365223405,1
-61.10460274285714,-0.0183516526610644,46.741306274509775,1
-62.9085945,0.055351190476190686,-12.579608333333503,1
-70.49126470967742,-0.003725443548387099,38.044863991935486,1
-72.80523559999999,0.029800000000000906,12.65627999999922,1
-81.36487554054052,-0.007333428165007014,49.79588165007103,1
-85.01701942857143,0.03192857142857212,15.780671428570798,1
-91.24425133333334,0.2682000000000001,-198.00726666666677,1
-92.853411,0.17885000000000054,-116.63920000000047,1
-94.82911585714285,-0.000523956043955854,47.544658681318495,1
-94.18789,0.08939999999999766,-35.83556666666449,1
-94.41352674999999,0.008628461959496432,39.24293174603176,1
-94.77534866666667,-0.013634285714286013,60.74616380952409,1
-101.78909021428572,-0.007160481663930069,56.62975987958414,1
-101.5865855,0.004257142857143171,45.293714285713975,1
-124.11481810714284,-0.021709797482211263,77.82585648604268,1
-124.72027971428571,0.009031820728291286,46.41443551820731,1
-146.11064044444444,0.05165333333333328,8.409000000000049,1
-146.464992,0.01300909090909101,49.878225454545344,1
-153.41519939999998,0.10730000000000077,-49.86550000000082,1
-153.85897291304346,0.0025913043478260718,64.17676086956523,1
-165.44356778723403,0.002694680851063878,66.64123617021272,1
-166.7792352,-0.005960000000000322,76.71706000000036,1
-166.6780679,0.015170909090909903,52.156983636362696,1
-166.60827807692306,0.005866599190283462,63.418921457489795,1
-165.98943644444444,-0.015691640866873583,89.44671159270789,1
-166.600763,-0.008856965944272441,81.45342868937047,1
-171.52682816666666,-0.01191999999999942,86.36242666666593,1
-170.9818832631579,0.010354561403508784,58.53070140350874,1
-170.82932866666664,0.00017183537263633012,71.51379896180933,1
-172.0907780588235,0.0032137254901964947,67.93987450980339,1
-173.10343150000003,0.00219578947368403,69.35540526315812,1
-173.1759029230769,0.010479120879121128,58.329612087911755,1
-177.36080526086957,0.006007114624505943,65.36219367588932,1
-180.64327182258063,-0.009438805368789507,87.36504730175517,1
-180.20780249999999,0.00686303030303067,64.07258787878735,1
-182.81463214285714,0.02554285714285699,37.98852857142879,1
-183.90496563265307,0.0004561224489794989,74.53245102040829,1
-183.9611352727273,-0.004846075663467227,82.48189728966724,1
-183.79022633333332,-0.004584615384615631,82.09078205128242,1
-23.996305600000007,-0.030227351778656153,34.13505032938077,2
-24.419169463157893,-0.022001807110862272,32.03815285974244,2
-25.221498375000003,0.0014190476190476115,22.3249380952381,2
