DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
6,6,52,52,52,31,31,37,37,14,14,19,4,10,30,34,17,26,133,85,5,5,87,76,24,75,44,53,32,108,97,7,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,26,26,26,37,37,3,3,92,92,8,10,91,4,61,26,133,100,31,62,62,93,78,74,66,25,88,185,28,212,122,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,31,31,31,3,3,71,71,75,75,4,91,7,36,17,133,100,95,43,14,14,33,3,86,34,143,56,266,51,87,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,37,37,37,71,71,12,12,19,19,10,7,30,6,26,100,95,29,50,24,70,17,17,69,17,93,37,85,32,62,81,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,3,3,3,12,12,14,14,8,8,91,30,4,53,133,22,157,85,26,10,87,33,2,50,44,53,88,3,237,34,75,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,71,71,71,14,14,92,92,4,4,7,4,36,34,100,70,42,31,5,31,93,23,24,75,25,88,78,143,21,224,229,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,12,12,12,92,92,75,75,10,10,30,36,6,61,22,157,24,43,62,87,33,76,74,66,143,56,55,2,179,136,72,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,14,14,14,75,75,19,19,91,91,4,6,53,17,70,42,29,50,14,119,17,78,195,34,50,37,193,77,56,234,63,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,92,92,92,19,19,8,8,7,7,36,4,34,26,157,24,85,26,24,93,33,3,86,17,31,88,33,60,76,14,223,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,75,75,75,8,8,4,4,30,30,6,48,61,133,42,29,31,5,10,33,23,17,69,46,59,78,148,17,3,42,37,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,19,19,19,4,4,10,10,4,4,4,34,17,100,24,85,25,62,31,17,76,2,50,44,53,55,25,146,100,144,70,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,8,8,8,10,10,91,91,36,36,48,61,26,22,29,31,16,14,87,33,78,24,75,25,88,193,151,92,90,50,120,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,4,4,56,56,7,7,6,6,34,17,133,70,85,25,50,24,92,23,3,74,66,143,56,33,110,18,44,80,135,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,10,10,10,34,34,30,30,4,4,61,26,100,85,31,16,26,10,25,76,17,195,34,50,37,148,121,29,134,187,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,56,56,56,7,7,4,4,48,48,17,133,22,71,25,50,5,31,93,78,2,86,17,31,88,25,32,196,97,149,25,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,34,34,34,30,30,36,36,34,34,26,100,70,42,10,26,36,87,33,3,24,69,73,59,78,151,185,92,212,84,160,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,7,7,7,4,4,6,6,61,61,133,22,85,24,5,5,6,92,17,17,74,50,46,53,55,110,266,108,87,128,290,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,30,30,30,36,36,2,2,17,17,100,70,71,29,50,36,16,25,33,2,195,75,44,88,8,115,127,28,12,7,139,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,4,4,4,6,6,2,2,26,26,22,102,42,85,26,6,14,246,23,24,86,66,25,21,182,88,46,51,45,222,218,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,36,36,36,2,2,48,48,59,59,70,85,24,31,5,16,24,93,76,74,69,34,143,32,33,30,36,32,273,122,101,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,266,6,6,6,2,2,34,34,73,73,102,71,29,25,36,14,10,33,78,86,50,17,50,37,8,32,3,237,136,49,82,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,2,2,2,42,42,61,61,52,52,85,42,23,10,6,24,31,17,3,107,56,73,158,48,148,185,25,21,16,86,41,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,2,2,2,5,5,17,17,47,47,71,24,60,5,16,10,87,33,17,86,17,46,31,37,25,46,116,179,174,81,58,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,42,42,42,34,34,26,26,22,22,42,29,31,50,14,31,92,23,2,69,66,44,21,78,134,240,2,56,113,207,230,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,5,5,5,61,61,59,59,70,70,24,23,25,26,24,87,25,55,24,50,34,25,36,55,14,266,250,76,62,299,41,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,34,34,34,17,17,55,55,102,102,29,60,10,5,10,92,246,19,74,5,17,110,53,8,45,127,77,14,34,75,137,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
