ti,tf,T,S,Archivo,Corriente
399,404,6,4.26361,7,-0.027575
418,419,2,0.7189800000000002,7,-0.027704
496,500,5,14.41504,7,-0.028233
527,529,3,1.2386,7,-0.028443
558,563,6,22.1171,7,-0.028654
585,587,3,0.7245999999999952,7,-0.028837
599,599,1,0.2364999999999995,7,-0.028932
611,615,5,2.4716999999999985,7,-0.029013
694,697,4,1.9633000000000038,7,-0.029576
746,747,2,0.5309000000000026,7,-0.029928
776,779,4,1.927900000000001,7,-0.030132
836,836,1,0.23289999999999367,7,-0.030539
983,983,1,0.20489999999999498,7,-0.031536
116,116,1,0.21233999999999975,8,-0.025656
170,170,1,0.25332,8,-0.026023
252,252,1,0.35017899999999996,8,-0.026579
312,312,1,0.195579,8,-0.026986
340,340,1,0.214206,8,-0.027175
470,473,4,4.39029,8,-0.028057
479,483,5,13.46518,8,-0.028118
494,497,4,2.587200000000001,8,-0.02822
562,570,9,17.141999999999996,8,-0.028681
604,604,1,0.2961000000000027,8,-0.028966
636,640,5,3.5949000000000026,8,-0.029183
655,655,1,0.23100000000000165,8,-0.029311
676,679,4,2.544400000000003,8,-0.029454
724,726,3,1.6632999999999996,8,-0.029779
730,730,1,0.22349999999999426,8,-0.02982
741,744,4,4.813099999999999,8,-0.029895
934,936,3,1.0914999999999964,8,-0.031203
1027,1027,1,0.23099999999999454,8,-0.031834
289,290,2,0.7394599999999993,9,-0.02683
390,390,1,0.21230000000000082,9,-0.027514
431,434,4,2.5853199999999994,9,-0.027792
465,467,3,1.20885,9,-0.028023
530,530,1,0.37256,9,-0.028464
539,548,10,25.06386,9,-0.028525
568,570,3,1.0412,9,-0.028721
572,572,1,0.1974000000000018,9,-0.028749
581,581,1,0.23840000000000217,9,-0.02881
598,598,1,0.31670000000000087,9,-0.028925
601,601,1,0.22160000000000224,9,-0.028945
615,615,1,0.2571000000000012,9,-0.02904
647,652,6,9.9467,9,-0.029257
657,657,1,0.22909999999999542,9,-0.029325
666,668,3,1.9296999999999969,9,-0.029386
673,674,2,1.0523999999999987,9,-0.029433
704,704,1,0.36129999999999995,9,-0.029644
735,735,1,0.296200000000006,9,-0.029854
811,815,5,3.1347999999999985,9,-0.030369
956,956,1,0.18260000000000076,9,-0.031353
63,63,1,0.21982000000000035,10,-0.025297
424,427,4,3.9860099999999994,10,-0.027745
479,483,5,12.23206,10,-0.028118
525,528,4,2.5984,10,-0.02843
577,583,7,33.79603,10,-0.028783
604,604,1,0.25329999999999586,10,-0.028966
731,733,3,0.8325999999999993,10,-0.029827
775,775,1,0.21979999999999933,10,-0.030125
875,875,1,0.22910000000000252,10,-0.030803
932,933,2,0.5308999999999955,10,-0.03119
83,83,1,0.18998999999999988,11,-0.025433
253,253,1,0.3427199999999999,11,-0.026585
355,357,3,0.7339199999999995,11,-0.027277
374,375,2,0.54575,11,-0.027406
389,393,5,1.6204999999999998,11,-0.027508
410,415,6,4.883884,11,-0.02765
420,422,3,1.0468169999999999,11,-0.027718
426,427,2,0.6146799999999999,11,-0.027759
473,474,2,0.6500599999999999,11,-0.028077
515,517,3,1.7918800000000004,11,-0.028362
527,530,4,1.5459999999999994,11,-0.028443
547,552,6,30.19737,11,-0.028579
574,575,2,0.558799999999998,11,-0.028762
585,585,1,0.23850000000000193,11,-0.028837
643,646,4,6.357200000000006,11,-0.02923
701,702,2,0.45819999999999794,11,-0.029623
704,704,1,0.22350000000000136,11,-0.029644
806,806,1,0.22169999999999845,11,-0.030335
844,845,2,0.6555999999999997,11,-0.030593
850,850,1,0.19369999999999976,11,-0.030634
243,243,1,0.18999100000000002,12,-0.026518
393,395,3,1.551593,12,-0.027535
440,442,3,2.48292,12,-0.027854
452,456,5,4.179790000000001,12,-0.027935
459,464,6,9.384129999999999,12,-0.027982
502,506,5,2.9206999999999965,12,-0.028274
584,587,4,1.827300000000001,12,-0.02883
596,603,8,29.830399999999997,12,-0.028911
642,642,1,0.23290000000000077,12,-0.029223
685,687,3,0.6444000000000045,12,-0.029515
151,151,1,0.21047999999999956,13,-0.025894
270,271,2,0.6072199999999999,13,-0.026701
416,419,4,3.622869999999999,13,-0.027691
423,427,5,4.716199999999999,13,-0.027738
481,482,2,0.4992000000000001,13,-0.028132
497,500,4,2.902100000000001,13,-0.02824
503,505,3,0.8270000000000017,13,-0.028281
517,518,2,0.45449999999999946,13,-0.028376
540,541,2,1.1306000000000012,13,-0.028532
549,549,1,0.21039999999999992,13,-0.028593
571,581,11,24.847800000000003,13,-0.028742
635,635,1,0.24580000000000268,13,-0.029176
684,686,3,1.0020999999999987,13,-0.029508
713,714,2,4.097899999999996,13,-0.029705
275,275,1,0.24401000000000006,14,-0.026735
411,413,3,1.749038,14,-0.027657
422,424,3,1.791874,14,-0.027731
465,468,4,2.3246,14,-0.028023
488,490,3,3.27267,14,-0.028179
494,496,3,0.7637199999999993,14,-0.02822
512,513,2,0.5215399999999999,14,-0.028342
543,547,5,10.85373,14,-0.028552
560,562,3,1.6019000000000005,14,-0.028667
614,618,5,24.972599999999996,14,-0.029033
631,631,1,0.1880999999999986,14,-0.029149
686,687,2,0.45830000000000126,14,-0.029522
723,724,2,0.5065999999999988,14,-0.029773
743,746,4,1.7284999999999968,14,-0.029908
769,769,1,0.29059999999999775,14,-0.030084
392,395,4,4.453607,15,-0.027528
423,427,5,4.89133,15,-0.027738
445,446,2,1.2815299999999992,15,-0.027887
477,482,6,4.783250000000001,15,-0.028104
533,533,1,0.28500000000000014,15,-0.028484
551,558,8,16.0896,15,-0.028606
586,586,1,0.18810000000000215,15,-0.028844
597,600,4,2.8667000000000016,15,-0.028918
609,614,6,10.257600000000004,15,-0.029
633,633,1,0.22910000000000252,15,-0.029162
704,704,1,0.21979999999999933,15,-0.029644
724,729,6,6.6143,15,-0.029779
733,736,4,1.2665999999999968,15,-0.02984
752,752,1,0.23099999999999454,15,-0.029969
70,70,1,0.18440999999999974,16,-0.025345
310,312,3,0.8866200000000002,16,-0.026972
421,426,6,10.9207,16,-0.027725
471,472,2,0.4098000000000006,16,-0.028064
516,519,4,4.211499999999999,16,-0.028369
546,549,4,2.0824,16,-0.028572
557,558,2,0.4693999999999967,16,-0.028647
591,597,7,11.975000000000001,16,-0.028877
606,611,6,18.6115,16,-0.028979
302,304,3,1.0430799999999998,17,-0.026918
358,359,2,0.6984899999999996,17,-0.027297
365,366,2,0.4656600000000015,17,-0.027345
417,418,2,0.6966300000000007,17,-0.027698
457,459,3,0.9071099999999994,17,-0.027969
466,474,9,19.2747,17,-0.02803
481,484,4,3.7719000000000023,17,-0.028132
555,558,4,2.4269999999999996,17,-0.028633
567,568,2,0.8363000000000014,17,-0.028715
607,607,1,0.2160999999999973,17,-0.028986
609,614,6,4.9696,17,-0.029
623,626,4,2.7325000000000017,17,-0.029094
633,633,1,0.23469999999999658,17,-0.029162
635,641,7,4.813099999999999,17,-0.029176
649,650,2,0.7637,17,-0.029271
102,102,1,0.20120000000000005,18,-0.025562
282,284,3,1.0672999999999995,18,-0.026782
336,339,4,1.6800999999999995,18,-0.027148
357,357,1,0.18440000000000012,18,-0.027291
360,360,1,0.29800000000000004,18,-0.027311
412,413,2,0.6966000000000019,18,-0.027664
435,440,6,6.090799999999998,18,-0.02782
474,477,4,4.321400000000001,18,-0.028084
480,483,4,4.401600000000002,18,-0.028125
584,584,1,0.3166000000000011,18,-0.02883
604,604,1,0.19369999999999976,18,-0.028966
625,629,5,25.879699999999996,18,-0.029108
297,297,1,0.25332,19,-0.026884
470,473,4,2.909475,19,-0.028057
497,501,5,14.189720000000001,19,-0.02824
517,521,5,10.5351,19,-0.028376
529,529,1,0.2792999999999992,19,-0.028457
584,585,2,0.5754999999999981,19,-0.02883
608,613,6,18.665699999999998,19,-0.028993
620,623,4,1.4397999999999982,19,-0.029074
672,672,1,0.197499999999998,19,-0.029427
693,693,1,0.33899999999999864,19,-0.029569
695,695,1,0.2161000000000044,19,-0.029583
708,708,1,0.22909999999999542,19,-0.029671
714,718,5,3.557699999999997,19,-0.029712
267,269,3,0.9592700000000001,20,-0.02668
277,277,1,0.21233999999999997,20,-0.026748
341,344,4,1.6186470000000002,20,-0.027182
374,374,1,0.27566999999999986,20,-0.027406
403,403,1,0.18627000000000038,20,-0.027603
414,419,6,3.4552199999999997,20,-0.027677
449,449,1,0.20115999999999978,20,-0.027915
513,513,1,0.22537999999999947,20,-0.028349
516,520,5,5.988480000000001,20,-0.028369
558,564,7,38.3874,20,-0.028654
606,606,1,0.33899999999999864,20,-0.028979
682,682,1,0.21419999999999817,20,-0.029495
728,728,1,0.32039999999999935,20,-0.029806
157,157,1,0.18254000000000126,21,-0.025935
351,351,1,0.21419999999999995,21,-0.02725
427,430,4,3.73649,21,-0.027765
474,479,6,16.901670000000003,21,-0.028084
483,485,3,0.6555999999999997,21,-0.028145
511,511,1,0.283100000000001,21,-0.028335
573,573,1,0.3110999999999997,21,-0.028755
577,579,3,1.2256,21,-0.028783
618,623,6,17.0229,21,-0.029061
635,642,8,5.390500000000003,21,-0.029176
659,660,2,0.5309000000000026,21,-0.029339
345,346,2,0.4378000000000011,22,-0.027209
409,412,4,2.902000000000001,22,-0.027643
417,417,1,0.3351999999999986,22,-0.027698
420,420,1,0.21609999999999907,22,-0.027718
432,432,1,0.2812000000000001,22,-0.027799
473,477,5,3.3771000000000004,22,-0.028077
494,497,4,3.1403999999999996,22,-0.02822
502,504,3,0.9109000000000016,22,-0.028274
510,514,5,9.3524,22,-0.028328
554,554,1,0.19189999999999685,22,-0.028627
558,558,1,0.18439999999999657,22,-0.028654
577,579,3,21.3217,22,-0.028783
129,129,1,0.20489999999999853,23,-0.025745
236,236,1,0.329699999999999,23,-0.02647
241,241,1,0.33530000000000015,23,-0.026504
355,359,5,2.0955000000000013,23,-0.027277
364,364,1,0.2160999999999973,23,-0.027338
403,404,2,0.6091000000000015,23,-0.027603
437,438,2,0.9313000000000002,23,-0.027833
450,453,4,1.739799999999999,23,-0.027921
495,498,4,3.5894000000000013,23,-0.028226
517,521,5,10.943100000000001,23,-0.028376
525,528,4,3.455199999999998,23,-0.02843
535,535,1,0.19189999999999685,23,-0.028498
554,554,1,0.2383999999999986,23,-0.028627
563,566,4,2.8181999999999974,23,-0.028688
577,577,1,0.20300000000000296,23,-0.028783
582,586,5,2.2687000000000026,23,-0.028816
594,595,2,0.46930000000000405,23,-0.028898
615,615,1,0.23100000000000165,23,-0.02904
635,635,1,0.27009999999999934,23,-0.029176
660,662,3,13.025500000000001,23,-0.029345
101,101,1,0.2589100000000002,24,-0.025555
129,129,1,0.18254000000000037,24,-0.025745
337,338,2,0.562518,24,-0.027155
362,362,1,0.206754,24,-0.027325
378,378,1,0.3557699999999999,24,-0.027433
392,397,6,7.817570000000001,24,-0.027528
424,426,3,1.8217099999999995,24,-0.027745
451,451,1,0.39860000000000007,24,-0.027928
459,463,5,3.2484,24,-0.027982
518,518,1,0.2234999999999996,24,-0.028382
522,526,5,9.3338,24,-0.02841
574,574,1,0.21979999999999933,24,-0.028762
612,616,5,9.087900000000001,24,-0.02902
689,689,1,0.21420000000000528,24,-0.029542
697,701,5,17.969,24,-0.029596
83,83,1,0.18067999999999973,25,-0.025433
145,145,1,0.26822000000000035,25,-0.025853
322,323,2,1.09897,25,-0.027053
331,332,2,0.46194000000000024,25,-0.027114
338,338,1,0.24214000000000002,25,-0.027162
353,353,1,0.24587000000000003,25,-0.027264
444,448,5,2.8330900000000003,25,-0.027881
499,503,5,10.68047,25,-0.028254
586,590,5,6.057400000000001,25,-0.028844
593,594,2,0.4862000000000002,25,-0.028891
597,602,6,6.841600000000003,25,-0.028918
615,620,6,21.636499999999998,25,-0.02904
109,109,1,0.21048000000000044,26,-0.025609
283,284,2,0.5513399999999997,26,-0.026789
286,286,1,0.23654999999999937,26,-0.026809
345,348,4,1.0914599999999997,26,-0.027209
358,358,1,0.32596999999999987,26,-0.027297
384,387,4,3.6880699999999997,26,-0.027474
399,399,1,0.27193999999999985,26,-0.027575
409,410,2,0.4507799999999995,26,-0.027643
495,501,7,10.05275,26,-0.028226
504,504,1,0.18067999999999973,26,-0.028288
534,537,4,1.8012000000000006,26,-0.028491
569,574,6,20.923139999999997,26,-0.028728
611,611,1,0.21229999999999905,26,-0.029013
621,623,3,1.5646999999999984,26,-0.029081
667,668,2,0.4656999999999982,26,-0.029393
704,708,5,7.070599999999999,26,-0.029644
727,728,2,0.4247000000000014,26,-0.0298
735,739,5,3.622799999999998,26,-0.029854
821,822,2,0.6128,26,-0.030437
924,924,1,0.20299999999999585,26,-0.031136
56,56,1,0.20670000000000144,27,-0.02525
240,240,1,0.22169999999999845,27,-0.026497
256,256,1,0.21979999999999933,27,-0.026606
344,345,2,0.42650000000000077,27,-0.027203
361,363,3,0.9647999999999968,27,-0.027318
404,405,2,0.6016000000000012,27,-0.027609
489,489,1,0.2795999999999985,27,-0.028186
493,497,5,9.339299999999998,27,-0.028213
500,504,5,10.864889999999999,27,-0.02826
521,523,3,1.06916,27,-0.028403
544,545,2,0.4284099999999995,27,-0.028559
547,547,1,0.24216999999999977,27,-0.028579
561,563,3,1.6819600000000001,27,-0.028674
575,576,2,0.4507599999999998,27,-0.028769
589,590,2,0.6090799999999996,27,-0.028864
595,600,6,9.33005,27,-0.028905
620,626,7,13.187610000000001,27,-0.029074
628,628,1,0.2254000000000005,27,-0.029128
647,648,2,0.6445000000000007,27,-0.029257
651,651,1,0.2309999999999981,27,-0.029284
689,691,3,0.7859999999999978,27,-0.029542
693,694,2,0.5326999999999984,27,-0.029569
784,784,1,0.2514000000000003,27,-0.030186
786,787,2,0.7395000000000032,27,-0.0302
872,872,1,0.24579999999999913,27,-0.030783
882,882,1,0.18440000000000012,27,-0.030851
909,909,1,0.26450000000000173,27,-0.031034
965,965,1,0.20110000000000028,27,-0.031414
106,106,1,0.18070000000000164,28,-0.025589
225,225,1,0.1880999999999986,28,-0.026396
242,243,2,0.6184000000000012,28,-0.026511
293,293,1,0.19000000000000483,28,-0.026857
331,331,1,0.23280000000000456,28,-0.027114
350,353,4,1.121299999999998,28,-0.027243
431,434,4,3.773699999999998,28,-0.027792
486,490,5,8.959400000000002,28,-0.028165
508,508,1,0.24780000000000157,28,-0.028315
528,530,3,1.7248000000000019,28,-0.02845
533,536,4,5.518999999999998,28,-0.028484
616,622,7,24.98011,28,-0.029047
670,673,4,5.863629999999999,28,-0.029413
680,681,2,0.8382000000000005,28,-0.029481
686,686,1,0.1974999999999998,28,-0.029522
709,709,1,0.2029999999999994,28,-0.029678
755,755,1,0.2589000000000006,28,-0.02999
766,766,1,0.23660000000000103,28,-0.030064
792,792,1,0.2273000000000014,28,-0.03024
910,910,1,0.19000000000000128,28,-0.031041
170,170,1,0.19930000000000092,29,-0.026023
184,184,1,0.18619999999999948,29,-0.026118
262,262,1,0.18820000000000192,29,-0.026647
413,415,3,1.1398999999999972,29,-0.02767
457,460,4,4.7181,29,-0.027969
468,473,6,13.651499999999999,29,-0.028043
535,537,3,1.7546,29,-0.028498
542,543,2,0.8121000000000009,29,-0.028545
553,558,6,7.331500000000002,29,-0.02862
560,562,3,1.7266899999999996,29,-0.028667
