DIFF1,DIFF2,DIFF3,DIFF4,DIFF5,DIFF6,DIFF7,DIFF8,DIFF9,DIFF10,DIFF11,DIFF12,DIFF13,DIFF14,DIFF15,DIFF16,DIFF17,DIFF18,DIFF19,DIFF20,DIFF21,DIFF22,DIFF23,DIFF24,DIFF25,DIFF26,DIFF27,DIFF28,DIFF29,DIFF30,DIFF31,DIFF32,DIFF33,DIFF34,DIFF35,DIFF36,DIFF37,DIFF38,DIFF39,DIFF40,DIFF41,DIFF42,DIFF43,DIFF44,DIFF45,DIFF46,DIFF47,DIFF48,DIFF49,DIFF50
57,57,57,57,57,89,154,3,38,38,133,15,15,8,12,60,16,19,48,117,92,79,58,6,36,105,3,4,132,50,135,139,81,68,91,126,142,77,74,54,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,54,150,84,133,133,39,15,18,30,22,111,118,18,28,92,58,58,21,11,62,99,38,144,67,69,21,125,83,130,20,228,120,52,172,92,0,0,0,0,0,0,0,0,0,0
89,89,89,89,89,154,16,4,39,39,15,18,8,34,60,98,19,25,117,27,48,21,6,65,105,159,90,132,28,51,185,86,7,3,126,104,154,86,188,130,0,0,0,0,0,0,0,0,0,0
54,54,54,54,54,114,2,51,15,15,15,8,30,89,40,42,18,275,92,29,79,6,11,66,99,52,4,53,50,110,16,81,13,91,228,145,6,107,61,154,0,0,0,0,0,0,0,0,0,0
154,154,154,154,154,36,89,50,15,15,18,30,34,12,59,16,25,37,27,48,58,11,65,36,159,42,70,67,69,90,87,83,68,20,104,188,21,81,53,186,0,0,0,0,0,0,0,0,0,0
114,114,114,114,114,16,3,84,18,18,8,34,89,22,11,118,69,76,29,79,21,65,66,62,52,49,71,28,51,72,38,7,130,126,145,178,158,33,199,0,0,0,0,0,0,0,0,0,0,0
36,36,36,36,36,2,84,21,3,8,30,89,12,60,98,19,205,48,48,58,6,66,36,105,42,132,132,50,110,9,139,13,3,80,188,120,67,150,128,0,0,0,0,0,0,0,0,0,0,0
16,16,16,16,16,89,4,17,5,30,34,12,22,40,42,18,22,28,79,21,11,36,45,99,49,91,53,69,90,135,12,68,91,143,178,224,82,144,125,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,3,51,63,30,34,89,22,60,59,16,25,37,117,58,6,65,45,15,14,132,10,67,51,72,21,63,130,20,104,83,60,207,193,207,0,0,0,0,0,0,0,0,0,0,0
89,89,89,89,89,84,50,133,34,89,12,60,40,11,118,69,76,98,21,11,66,15,105,143,91,3,327,110,9,34,139,3,126,145,33,132,147,4,127,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,4,59,39,89,63,22,40,59,98,19,152,48,92,6,65,36,105,99,52,10,38,28,90,7,3,125,91,48,188,224,102,164,149,62,0,0,0,0,0,0,0,0,0,0,0
82,82,82,82,82,51,25,15,63,82,60,59,11,42,18,52,28,27,11,66,45,99,14,42,3,90,50,72,125,142,86,20,80,178,123,142,55,101,234,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,50,21,15,31,12,40,11,25,16,25,22,117,29,65,36,15,14,143,49,38,4,69,9,21,16,81,43,143,83,13,120,216,74,77,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,59,17,6,51,22,59,179,98,118,69,37,98,48,66,45,105,143,52,132,90,70,39,7,34,87,83,80,104,33,60,154,118,172,89,0,0,0,0,0,0,0,0,0,0,0
51,51,51,51,51,25,63,12,12,60,11,25,42,19,152,76,92,79,36,15,99,52,42,91,4,71,9,125,3,38,7,48,145,224,132,42,77,188,197,0,0,0,0,0,0,0,0,0,0,0
50,50,50,50,50,21,18,3,22,40,179,98,16,18,52,48,27,58,45,31,14,42,49,10,70,132,110,21,142,139,13,80,77,123,51,6,174,80,165,0,0,0,0,0,0,0,0,0,0,0
59,59,59,59,59,17,133,5,60,59,25,42,118,25,22,28,29,21,15,72,143,49,100,3,71,53,90,34,16,12,68,143,188,13,48,119,52,61,32,0,0,0,0,0,0,0,0,0,0,0
25,25,25,25,25,63,39,21,40,11,98,16,19,69,37,117,48,6,190,99,52,17,30,38,132,67,72,3,87,63,130,104,178,60,142,21,66,53,69,0,0,0,0,0,0,0,0,0,0,0
21,21,21,21,21,18,15,9,59,179,42,118,18,152,76,98,79,11,31,14,42,100,91,90,20,327,9,142,101,139,3,145,209,70,120,158,30,199,200,0,0,0,0,0,0,0,0,0,0,0
17,17,17,17,17,133,15,34,11,25,16,19,25,52,48,14,58,65,72,143,49,10,10,4,53,28,7,16,38,125,91,77,83,132,154,67,10,128,265,0,0,0,0,0,0,0,0,0,0,0
63,63,63,63,63,39,6,89,116,98,118,18,69,22,28,77,21,66,20,52,17,17,3,70,67,50,125,87,44,86,20,188,33,51,42,82,86,102,114,0,0,0,0,0,0,0,0,0,0,0
