ti,tf,S_MR,S_MO,T,Archivo,I,P,Tp,tp,Ip
826,826,0.2700999999999993,0.0,1,4,0,0,0,-1,0.0
878,879,0.4358999999999966,0.0,2,4,0,1,3,1,0.0688999999999993
282,283,0.4619999999999997,0.3261800000000008,2,5,0,0,0,-1,0.0
308,310,0.9481000000000002,0.0,3,5,0,1,16,1,0.32409999999999783
380,380,0.180699999999998,0.0,1,5,0,0,0,-1,0.0
408,409,0.8679999999999986,0.0,2,5,0,0,0,-1,0.0
451,454,1.3782999999999994,0.5595709999999983,4,5,0,0,0,-1,0.0
470,474,13.131729999999996,5.788003,5,5,0,1,6,0,0.38929999999999865
592,594,1.32807,0.3554479999999991,3,5,0,0,0,-1,0.0
613,617,8.929585,4.871169999999999,5,5,0,1,5,0,0.11734500000000014
621,621,0.24587,0.0,1,5,0,0,0,-1,0.0
635,638,3.00634,0.958355000000001,4,5,0,1,3,1,0.0
663,670,21.2064,10.391537,8,5,0,1,5,0,0.0
739,740,0.8289000000000044,0.8843090000000018,2,5,0,1,6,1,0.0
816,816,0.2105000000000032,0.0,1,5,0,0,0,-1,0.0
892,893,0.6966999999999999,0.4796830000000014,2,5,0,1,12,1,0.0
901,901,0.2308999999999983,0.0,1,5,0,0,0,-1,0.0
945,947,0.882799999999996,0.0,3,5,0,0,0,-1,0.0
337,339,0.8457000000000008,0.0,3,6,0,0,0,-1,0.0
361,363,1.1064000000000007,0.3200100000000017,3,6,0,0,0,-1,0.0
400,404,5.083170000000001,1.568807999999997,5,6,0,1,28,0,1.0114
434,435,0.4786999999999999,0.3787169999999982,2,6,0,0,0,-1,0.0
480,483,7.512109000000001,3.631178000000002,4,6,0,1,28,0,0.0
531,537,25.538854,10.265778000000005,7,6,0,1,14,0,0.197441
540,540,0.2887999999999984,0.0,1,6,0,0,0,-1,0.0
547,547,0.2384000000000021,0.0,1,6,0,0,0,-1,0.0
565,567,1.8049,2.208198000000003,3,6,0,1,8,0,0.0
603,604,0.5960000000000001,0.5335380000000001,2,6,0,1,3,1,0.0
607,607,0.2755999999999972,0.0,1,6,0,0,0,-1,0.0
645,645,0.1825000000000045,0.0,1,6,0,0,0,-1,0.0
661,661,0.3054000000000059,1.0726730000000018,1,6,0,0,0,-1,0.0
684,691,5.6569,3.1399839999999983,8,6,0,0,0,-1,0.0
789,791,0.8828999999999994,0.6604770000000002,3,6,0,0,0,-1,0.0
799,799,0.2738999999999976,0.0,1,6,0,0,0,-1,0.0
828,828,0.1880999999999986,0.0,1,6,0,0,0,-1,0.0
998,998,0.2811999999999983,0.0,1,6,0,1,20,0,0.0
385,385,0.359490000000001,0.2406500000000004,1,7,0,1,71,0,1.6000400000000008
399,404,4.26361,1.0712810000000026,6,7,0,1,4,0,0.0
418,419,0.7189800000000002,0.0,2,7,0,0,0,-1,0.0
496,500,14.41504,5.711666000000001,5,7,0,1,38,0,0.808388
527,529,1.2386,0.0,3,7,0,1,5,0,0.19930000000000092
558,563,22.1171,11.724732,6,7,0,1,3,2,0.0
585,587,0.7245999999999952,0.4479990000000029,3,7,0,0,0,-1,0.0
599,599,0.2364999999999995,0.0,1,7,0,0,0,-1,0.0
611,615,2.4716999999999985,1.3054630000000031,5,7,0,0,0,-1,0.0
694,697,1.963300000000004,0.2773150000000015,4,7,0,0,0,-1,0.0
746,747,0.5309000000000026,0.0,2,7,0,1,8,0,0.0
776,779,1.927900000000001,1.6535030000000006,4,7,0,1,12,2,0.34839999999999804
836,836,0.2328999999999936,0.0,1,7,0,0,0,-1,0.0
983,983,0.2048999999999949,0.0,1,7,0,0,0,-1,0.0
116,116,0.2123399999999997,0.0,1,8,0,0,0,-1,0.0
170,170,0.25332,0.0,1,8,0,0,0,-1,0.0
252,252,0.3501789999999999,0.0,1,8,0,0,0,-1,0.0
312,312,0.195579,0.0,1,8,0,0,0,-1,0.0
340,340,0.214206,0.0,1,8,0,0,0,-1,0.0
470,473,4.39029,1.465995000000003,4,8,0,1,3,0,0.13598
479,483,13.46518,5.285861000000001,5,8,0,0,0,-1,0.0
494,497,2.587200000000001,0.4981679999999997,4,8,0,1,1,0,0.0
562,570,17.141999999999996,7.0527039999999985,9,8,0,1,34,0,0.7935000000000016
604,604,0.2961000000000027,0.0,1,8,0,0,0,-1,0.0
636,640,3.594900000000002,2.607573000000002,5,8,0,0,0,-1,0.0
655,655,0.2310000000000016,0.0,1,8,0,0,0,-1,0.0
676,679,2.544400000000003,0.8839989999999958,4,8,0,1,11,0,0.0
724,726,1.6632999999999996,0.6252020000000016,3,8,0,0,0,-1,0.0
730,730,0.2234999999999942,0.0,1,8,0,0,0,-1,0.0
741,744,4.813099999999999,3.2222070000000045,4,8,0,1,5,0,0.0
934,936,1.0914999999999964,0.0,3,8,0,1,12,1,0.0
1027,1027,0.2309999999999945,0.0,1,8,0,0,0,-1,0.0
289,290,0.7394599999999993,0.0,2,9,0,0,0,-1,0.0
390,390,0.2123000000000008,0.0,1,9,0,0,0,-1,0.0
431,434,2.5853199999999994,1.58718,4,9,0,0,0,-1,0.0
465,467,1.20885,0.0,3,9,0,1,20,2,0.5699699999999996
530,530,0.37256,0.0,1,9,0,0,0,-1,0.0
539,548,25.06386,9.349988999999997,10,9,0,0,0,-1,0.0
568,570,1.0412,0.4601440000000032,3,9,0,0,0,-1,0.0
572,572,0.1974000000000018,0.0,1,9,0,1,10,3,0.0
581,581,0.2384000000000021,0.0,1,9,0,0,0,-1,0.0
598,598,0.3167000000000008,0.0,1,9,0,1,3,0,0.15830000000000055
601,601,0.2216000000000022,0.0,1,9,0,1,3,3,0.15830000000000055
615,615,0.2571000000000012,0.0,1,9,0,1,5,1,0.0
647,652,9.9467,4.4588250000000045,6,9,0,0,0,-1,0.0
657,657,0.2290999999999954,0.0,1,9,0,0,0,-1,0.0
666,668,1.9296999999999969,1.968995999999997,3,9,0,0,0,-1,0.0
673,674,1.052399999999999,0.9358860000000035,2,9,0,0,0,-1,0.0
704,704,0.3612999999999999,0.0,1,9,0,0,0,-1,0.0
735,735,0.296200000000006,0.0,1,9,0,0,0,-1,0.0
811,815,3.1347999999999985,0.6938469999999981,5,9,0,0,0,-1,0.0
956,956,0.1826000000000007,0.0,1,9,0,0,0,-1,0.0
63,63,0.2198200000000003,0.0,1,10,0,0,0,-1,0.0
424,427,3.98601,1.4942170000000026,4,10,0,1,78,0,1.890600000000001
479,483,12.23206,4.530285999999997,5,10,0,1,43,0,0.936910000000001
525,528,2.5984,1.3437279999999987,4,10,0,0,0,-1,0.0
577,583,33.79603,15.643337999999996,7,10,0,1,17,3,0.0
604,604,0.2532999999999958,0.0,1,10,0,0,0,-1,0.0
731,733,0.8325999999999993,0.0,3,10,0,1,10,2,0.0
775,775,0.2197999999999993,0.0,1,10,0,1,31,0,0.36129999999999995
875,875,0.2291000000000025,0.0,1,10,0,1,3,0,0.09120000000000061
932,933,0.5308999999999955,0.0,2,10,0,1,21,0,0.0
83,83,0.1899899999999998,0.0,1,11,0,0,0,-1,0.0
253,253,0.3427199999999999,0.0,1,11,0,0,0,-1,0.0
355,357,0.7339199999999995,0.0,3,11,0,0,0,-1,0.0
374,375,0.54575,0.4225710000000013,2,11,0,0,0,-1,0.0
389,393,1.6204999999999998,0.0,5,11,0,0,0,-1,0.0
410,415,4.883884,1.039677000000001,6,11,0,0,0,-1,0.0
420,422,1.046817,0.6651939999999996,3,11,0,0,0,-1,0.0
426,427,0.6146799999999999,0.0,2,11,0,0,0,-1,0.0
473,474,0.6500599999999999,0.0,2,11,0,1,3,0,0.0
515,517,1.7918800000000004,1.0391469999999998,3,11,0,1,32,0,0.58487
527,530,1.5459999999999994,0.8397429999999986,4,11,0,0,0,-1,0.0
547,552,30.19737,14.502008,6,11,0,1,6,3,0.0
574,575,0.558799999999998,0.0,2,11,0,0,0,-1,0.0
585,585,0.2385000000000019,0.0,1,11,0,0,0,-1,0.0
643,646,6.357200000000006,3.722743000000001,4,11,0,1,3,0,0.0
701,702,0.4581999999999979,0.0,2,11,0,1,9,2,0.0
704,704,0.2235000000000013,0.0,1,11,0,0,0,-1,0.0
806,806,0.2216999999999984,0.0,1,11,0,0,0,-1,0.0
844,845,0.6555999999999997,0.9556480000000036,2,11,0,0,0,-1,0.0
850,850,0.1936999999999997,0.0,1,11,0,0,0,-1,0.0
243,243,0.189991,0.0,1,12,0,1,64,1,1.519923
393,395,1.551593,0.0,3,12,0,0,0,-1,0.0
440,442,2.48292,0.8405390000000033,3,12,0,1,9,0,0.15460200000000002
452,456,4.179790000000001,1.569198,5,12,0,0,0,-1,0.0
459,464,9.38413,3.825969999999998,6,12,0,0,0,-1,0.0
502,506,2.9206999999999965,1.130310999999999,5,12,0,0,0,-1,0.0
584,587,1.827300000000001,1.5780390000000004,4,12,0,0,0,-1,0.0
596,603,29.8304,13.524691000000004,8,12,0,0,0,-1,0.0
642,642,0.2329000000000007,0.0,1,12,0,0,0,-1,0.0
685,687,0.6444000000000045,0.0,3,12,0,0,0,-1,0.0
151,151,0.2104799999999995,0.0,1,13,0,0,0,-1,0.0
270,271,0.6072199999999999,0.0,2,13,0,0,0,-1,0.0
416,419,3.622869999999999,1.135977999999998,4,13,0,0,0,-1,0.0
423,427,4.716199999999999,1.4932489999999987,5,13,0,0,0,-1,0.0
481,482,0.4992000000000001,0.0,2,13,0,0,0,-1,0.0
497,500,2.902100000000001,1.0251490000000023,4,13,0,0,0,-1,0.0
503,505,0.8270000000000017,0.0,3,13,0,0,0,-1,0.0
517,518,0.4544999999999994,0.0,2,13,0,0,0,-1,0.0
540,541,1.1306000000000012,0.4882070000000027,2,13,0,1,8,0,0.0
549,549,0.2103999999999999,0.0,1,13,0,0,0,-1,0.0
571,581,24.847800000000003,9.006991,11,13,0,1,12,0,0.3874999999999993
635,635,0.2458000000000026,0.0,1,13,0,1,13,1,0.0
684,686,1.0020999999999989,0.7186859999999982,3,13,0,1,39,0,0.0
713,714,4.097899999999996,0.3046140000000008,2,13,0,1,6,0,0.0
275,275,0.24401,0.0,1,14,0,0,0,-1,0.0
411,413,1.749038,0.8467149999999997,3,14,0,0,0,-1,0.0
422,424,1.791874,0.5040510000000005,3,14,0,0,0,-1,0.0
465,468,2.3246,0.4942029999999988,4,14,0,1,12,4,0.0
488,490,3.27267,1.3697279999999985,3,14,0,1,10,0,0.47685999999999984
494,496,0.7637199999999993,0.0,3,14,0,0,0,-1,0.0
512,513,0.5215399999999999,0.0,2,14,0,0,0,-1,0.0
543,547,10.85373,4.442989999999998,5,14,0,1,7,3,0.0
560,562,1.6019000000000003,0.0,3,14,0,0,0,-1,0.0
614,618,24.9726,13.328147,5,14,0,1,8,3,0.0
631,631,0.1880999999999986,0.0,1,14,0,0,0,-1,0.0
686,687,0.4583000000000012,0.0,2,14,0,0,0,-1,0.0
723,724,0.5065999999999988,0.0,2,14,0,1,18,0,0.28130000000000166
743,746,1.7284999999999968,1.0908930000000012,4,14,0,0,0,-1,0.0
769,769,0.2905999999999977,0.0,1,14,0,1,8,2,0.0
392,395,4.453607,1.8890280000000013,4,15,0,1,28,0,0.7022199999999996
423,427,4.89133,1.7888710000000003,5,15,0,0,0,-1,0.0
445,446,1.2815299999999992,0.0,2,15,0,1,9,0,0.0
477,482,4.783250000000001,1.7851789999999994,6,15,0,1,20,0,0.4042000000000012
533,533,0.2850000000000001,0.0,1,15,0,0,0,-1,0.0
551,558,16.0896,6.989640999999999,8,15,0,1,7,0,0.23099999999999987
586,586,0.1881000000000021,0.0,1,15,0,0,0,-1,0.0
597,600,2.8667000000000016,1.3009249999999994,4,15,0,0,0,-1,0.0
609,614,10.257600000000004,3.428607999999997,6,15,0,0,0,-1,0.0
633,633,0.2291000000000025,0.0,1,15,0,1,10,0,0.0
704,704,0.2197999999999993,0.0,1,15,0,1,28,0,0.0
724,729,6.6143,4.298690999999998,6,15,0,2,11,4,0.09499999999999886
733,736,1.2665999999999968,0.0,4,15,0,0,0,-1,0.0
752,752,0.2309999999999945,0.0,1,15,0,0,0,-1,0.0
70,70,0.1844099999999997,0.0,1,16,0,0,0,-1,0.0
310,312,0.8866200000000002,0.407096000000001,3,16,0,0,0,-1,0.0
421,426,10.9207,3.694562999999999,6,16,0,1,17,0,0.71712
471,472,0.4098000000000006,0.0,2,16,0,0,0,-1,0.0
516,519,4.211499999999999,2.149868000000001,4,16,0,1,34,0,0.39860000000000007
546,549,2.0824,0.6554080000000013,4,16,0,1,18,0,0.5382999999999996
557,558,0.4693999999999967,0.0,2,16,0,0,0,-1,0.0
591,597,11.975,5.192036999999999,7,16,0,0,0,-1,0.0
606,611,18.6115,10.832863999999995,6,16,0,0,0,-1,0.0
302,304,1.0430799999999998,0.5347340000000003,3,17,0,0,0,-1,0.0
358,359,0.6984899999999996,0.0,2,17,0,0,0,-1,0.0
365,366,0.4656600000000015,0.0,2,17,0,0,0,-1,0.0
417,418,0.6966300000000007,0.0,2,17,0,0,0,-1,0.0
457,459,0.9071099999999994,0.7936279999999982,3,17,0,1,30,0,0.3483099999999997
466,474,19.2747,6.246896999999997,9,17,0,0,0,-1,0.0
481,484,3.771900000000002,1.5612179999999969,4,17,0,0,0,-1,0.0
555,558,2.427,0.9870160000000006,4,17,0,1,2,0,0.08379999999999654
567,568,0.8363000000000014,0.4865549999999992,2,17,0,0,0,-1,0.0
607,607,0.2160999999999973,0.0,1,17,0,0,0,-1,0.0
609,614,4.9696,2.890581000000001,6,17,0,0,0,-1,0.0
623,626,2.7325000000000017,0.0,4,17,0,0,0,-1,0.0
633,633,0.2346999999999965,0.0,1,17,0,0,0,-1,0.0
