ti,tf,T,S,Archivo,Corriente
614,615,2,0.1371900984256022,5,-0.029033
636,636,1,0.026990808527862398,5,-0.029183
664,665,2,0.24239858616047205,5,-0.029372
669,669,1,0.05026539063017288,5,-0.029406
707,707,1,0.009467673398247611,5,-0.029664
740,740,1,0.02490540029369659,5,-0.029888
806,806,1,0.007912080410025002,5,-0.030335
821,821,1,0.0073221638598690575,5,-0.030437
849,849,1,0.010498745913343654,5,-0.030627
893,893,1,0.013509641006798745,5,-0.030925
932,932,1,0.006154807272100049,5,-0.03119
934,934,1,0.006710955563703602,5,-0.031203
943,943,1,0.00946820850826624,5,-0.031264
1001,1001,1,0.006797896859909391,5,-0.031658
224,224,1,0.006970673432028576,6,-0.026389
271,271,1,0.005800908257395404,6,-0.026708
321,321,1,0.0063123209276534364,6,-0.027047
342,342,1,0.008017838326641324,6,-0.027189
363,363,1,0.009025377411861601,6,-0.027331
401,402,2,0.04424575571622036,6,-0.027589
435,435,1,0.01068111576915709,6,-0.02782
481,482,2,0.10241164932236063,6,-0.028132
532,533,2,0.25198901115668204,6,-0.028477
536,536,1,0.037541068767024566,6,-0.028504
566,567,2,0.062278742383418906,6,-0.028708
593,593,1,0.006353018467121885,6,-0.028891
604,604,1,0.015047597929970236,6,-0.028966
661,662,2,0.030253050418780014,6,-0.029352
687,690,4,0.08855829713823538,6,-0.029528
790,791,2,0.018627712249161266,6,-0.030227
843,843,1,0.006327071317911215,6,-0.030586
850,850,1,0.006776492864294381,6,-0.030634
873,873,1,0.009019849540942593,6,-0.03079
986,986,1,0.00866956302659827,6,-0.031556
992,992,1,0.01232424719634706,6,-0.031597
75,75,1,0.007029532926227933,7,-0.025378
145,145,1,0.00747505344911964,7,-0.025853
188,188,1,0.008204544146406673,7,-0.026145
245,245,1,0.006911158179477295,7,-0.026531
250,250,1,0.008661413363576259,7,-0.026565
271,271,1,0.007740343223280349,7,-0.026708
308,308,1,0.00735280216818493,7,-0.026958
312,312,1,0.005732972695800004,7,-0.026986
385,385,1,0.006760057618781595,7,-0.027481
391,391,1,0.006707612043987232,7,-0.027521
401,402,2,0.03009316969003098,7,-0.027589
497,498,2,0.16044542389044536,7,-0.02824
545,545,1,0.006221837365401772,7,-0.028566
556,556,1,0.01534781683286085,7,-0.02864
560,560,1,0.3293574231654772,7,-0.028667
586,586,1,0.012584662593627893,7,-0.028844
609,609,1,0.007501992552616077,7,-0.029
613,614,2,0.036671535837055846,7,-0.029027
695,695,1,0.007790007806160015,7,-0.029583
755,755,1,0.007670397063002765,7,-0.02999
778,778,1,0.04644826741254182,7,-0.030145
860,860,1,0.007506262358383808,7,-0.030702
902,902,1,0.008345981462469565,7,-0.030986
1015,1015,1,0.006614996585981525,7,-0.031753
97,97,1,0.00835029224633406,8,-0.025528
139,139,1,0.00614972625679952,8,-0.025812
143,143,1,0.009416320369171227,8,-0.02584
202,202,1,0.007251137323654525,8,-0.02624
216,216,1,0.01056092834279744,8,-0.026335
307,307,1,0.007974341587656891,8,-0.026952
313,313,1,0.011993800005750399,8,-0.026992
371,371,1,0.006664732435745585,8,-0.027386
472,472,1,0.040335318052358876,8,-0.028071
481,481,1,0.1454349330083385,8,-0.028132
497,497,1,0.013706571116209487,8,-0.02824
564,564,1,0.12230502546485156,8,-0.028694
568,568,1,0.07174274343554898,8,-0.028721
595,595,1,0.005451229522912215,8,-0.028905
606,606,1,0.01156510509848685,8,-0.028979
609,609,1,0.0074644805179886475,8,-0.029
636,636,1,0.007583148198819556,8,-0.029183
638,640,3,0.06416149369951119,8,-0.029196
656,656,1,0.018065991941988324,8,-0.029318
677,677,1,0.0243223072540949,8,-0.029461
716,716,1,0.009106568282272187,8,-0.029725
726,726,1,0.017201778667028766,8,-0.029793
743,743,1,0.08865565310627732,8,-0.029908
796,796,1,0.008206311728414128,8,-0.030268
892,892,1,0.007013114113158525,8,-0.030919
229,229,1,0.010237591026912879,9,-0.026423
348,348,1,0.005826781041085888,9,-0.02723
391,391,1,0.0091573770662563,9,-0.027521
397,397,1,0.007865609529047801,9,-0.027562
433,434,2,0.04492555601171069,9,-0.027806
464,464,1,0.008117979302734724,9,-0.028016
507,507,1,0.008063236913511962,9,-0.028308
526,526,1,0.00937314812781026,9,-0.028437
540,541,2,0.04996779992658734,9,-0.028532
544,545,2,0.21468614891877275,9,-0.028559
570,570,1,0.013024499455293381,9,-0.028735
599,599,1,0.016083619650558822,9,-0.028932
607,607,1,0.00977918720402593,9,-0.028986
617,617,1,0.013893924081646913,9,-0.029054
649,650,2,0.12620823868995068,9,-0.029271
667,668,2,0.05573296039821196,9,-0.029393
674,674,1,0.026490504488196676,9,-0.02944
732,732,1,0.026043847351724936,9,-0.029834
764,764,1,0.006952283431295947,9,-0.030051
813,813,1,0.019639525612758058,9,-0.030383
828,828,1,0.013052465060542695,9,-0.030485
992,992,1,0.014330108268784114,9,-0.031597
123,123,1,0.0077989931052489525,10,-0.025704
426,426,1,0.04201417640371577,10,-0.027759
480,481,2,0.12738192321683095,10,-0.028125
527,527,1,0.03778274857708891,10,-0.028443
580,581,2,0.4398571039380151,10,-0.028803
636,636,1,0.0198572225953616,10,-0.029183
694,694,1,0.010606195358748849,10,-0.029576
704,704,1,0.00727403275915639,10,-0.029644
780,780,1,0.008321001076604495,10,-0.030159
895,895,1,0.021058164284808112,10,-0.030939
924,924,1,0.006485945529360881,10,-0.031136
941,941,1,0.008742234656937242,10,-0.031251
1025,1025,1,0.0076830631905763225,10,-0.03182
1038,1038,1,0.008173213632627019,10,-0.031909
104,104,1,0.008648115887199104,11,-0.025575
182,182,1,0.009802624054882941,11,-0.026104
206,206,1,0.008123831365206668,11,-0.026267
313,313,1,0.010457902204689284,11,-0.026992
375,375,1,0.011909231561730987,11,-0.027413
412,413,2,0.02930100300873878,11,-0.027664
422,422,1,0.018747025658348626,11,-0.027731
488,488,1,0.011490068862403169,11,-0.028179
517,517,1,0.029286066127770294,11,-0.028376
529,529,1,0.023666304217143663,11,-0.028457
548,549,2,0.4087071081121862,11,-0.028586
589,589,1,0.009983501228572611,11,-0.028864
644,645,2,0.10491730012663658,11,-0.029237
737,737,1,0.0069058555448041625,11,-0.029867
741,741,1,0.006847066235935784,11,-0.029895
764,764,1,0.01172384514095659,11,-0.030051
785,785,1,0.011752732505093566,11,-0.030193
813,813,1,0.0102130500879839,11,-0.030383
845,846,2,0.026932830988177447,11,-0.0306
947,947,1,0.004639592508359436,11,-0.031291
952,952,1,0.0060247486644313675,11,-0.031325
957,957,1,0.006668105492257159,11,-0.031359
992,992,1,0.011416314489772206,11,-0.031597
1037,1037,1,0.014736304021555124,11,-0.031902
169,169,1,0.0064213853924904585,12,-0.026016
188,188,1,0.008663406179889963,12,-0.026145
261,261,1,0.0073554734948858835,12,-0.02664
366,366,1,0.008887486614157336,12,-0.027352
403,403,1,0.008526372267051913,12,-0.027603
441,442,2,0.02377835426570682,12,-0.02786
454,455,2,0.044391689091212244,12,-0.027948
461,462,2,0.10823444250649394,12,-0.027996
504,504,1,0.031975833826181965,12,-0.028288
585,587,3,0.04464179578473049,12,-0.028837
598,600,3,0.38260555897134507,12,-0.028925
645,645,1,0.007451600917640744,12,-0.029244
714,714,1,0.013875419199582795,12,-0.029712
748,748,1,0.02001662625335532,12,-0.029942
831,831,1,0.010810176516313996,12,-0.030505
66,66,1,0.006516194053491436,13,-0.025317
98,98,1,0.007452081436136432,13,-0.025534
280,280,1,0.008768929178129048,13,-0.026769
305,305,1,0.010842090332968263,13,-0.026938
381,381,1,0.008698585526259545,13,-0.027453
417,418,2,0.03184888041587586,13,-0.027698
425,425,1,0.02374766921818708,13,-0.027752
427,427,1,0.018117850036698413,13,-0.027765
498,498,1,0.02874161991645513,13,-0.028247
