ti,tf,S_MR,S_MO,T,Archivo,I,P,Tp,tp,Ip
282,283,0.4619999999999997,0.0091864308378609,2,5,0,0,0,-1,0.0
308,310,0.9481000000000002,0.0,3,5,0,1,16,1,0.0
380,380,0.180699999999998,0.0,1,5,0,0,0,-1,0.0
408,409,0.8679999999999986,0.0,2,5,0,0,0,-1,0.0
451,454,1.3782999999999994,0.0157595814898909,4,5,0,0,0,-1,0.0
470,474,13.131729999999996,0.1630114944166761,5,5,0,1,6,0,0.1061700000000001
592,594,1.32807,0.0100107255762338,3,5,0,0,0,-1,0.0
613,617,8.929585,0.1371900984256022,5,5,0,1,5,0,0.06519999999999904
621,621,0.24587,0.0,1,5,0,0,0,-1,0.0
635,638,3.00634,0.0269908085278623,4,5,0,1,3,1,0.0
663,670,21.2064,0.2926639767906448,8,5,0,1,5,0,0.09309999999999974
739,740,0.8289000000000044,0.0249054002936965,2,5,0,1,6,1,0.0
816,816,0.2105000000000032,0.0,1,5,0,0,0,-1,0.0
892,893,0.6966999999999999,0.0135096410067987,2,5,0,1,12,1,0.16210000000000235
901,901,0.2308999999999983,0.0,1,5,0,0,0,-1,0.0
945,947,0.882799999999996,0.0,3,5,0,0,0,-1,0.0
337,339,0.8457000000000008,0.0,3,6,0,0,0,-1,0.0
361,363,1.1064000000000007,0.0090253774118616,3,6,0,0,0,-1,0.0
400,404,5.083170000000001,0.0442457557162203,5,6,0,1,28,0,0.0
434,435,0.4786999999999999,0.010681115769157,2,6,0,0,0,-1,0.0
480,483,7.512109000000001,0.1024116493223606,4,6,0,1,28,0,0.0
531,537,25.538854,0.2895300799237065,7,6,0,1,14,0,0.0
540,540,0.2887999999999984,0.0,1,6,0,0,0,-1,0.0
547,547,0.2384000000000021,0.0,1,6,0,0,0,-1,0.0
565,567,1.8049,0.0622787423834189,3,6,0,1,8,0,0.0
603,604,0.5960000000000001,0.0150475979299702,2,6,0,1,3,1,0.29240000000000066
607,607,0.2755999999999972,0.0,1,6,0,0,0,-1,0.0
645,645,0.1825000000000045,0.0,1,6,0,0,0,-1,0.0
661,661,0.3054000000000059,0.03025305041878,1,6,0,0,0,-1,0.0
684,691,5.6569,0.0885582971382353,8,6,0,0,0,-1,0.0
789,791,0.8828999999999994,0.0186277122491612,3,6,0,0,0,-1,0.0
799,799,0.2738999999999976,0.0,1,6,0,0,0,-1,0.0
828,828,0.1880999999999986,0.0,1,6,0,0,0,-1,0.0
998,998,0.2811999999999983,0.0,1,6,0,1,20,0,0.3669000000000011
385,385,0.359490000000001,0.0067600576187815,1,7,0,1,71,0,0.0
399,404,4.26361,0.0300931696900309,6,7,0,1,4,0,0.0
418,419,0.7189800000000002,0.0,2,7,0,0,0,-1,0.0
496,500,14.41504,0.1604454238904453,5,7,0,1,38,0,0.0
527,529,1.2386,0.0,3,7,0,1,5,0,0.0
558,563,22.1171,0.3293574231654772,6,7,0,1,3,2,0.0
585,587,0.7245999999999952,0.0125846625936278,3,7,0,0,0,-1,0.0
599,599,0.2364999999999995,0.0,1,7,0,0,0,-1,0.0
611,615,2.4716999999999985,0.0366715358370558,5,7,0,0,0,-1,0.0
694,697,1.963300000000004,0.00779000780616,4,7,0,0,0,-1,0.0
746,747,0.5309000000000026,0.0,2,7,0,1,8,0,0.0
776,779,1.927900000000001,0.0464482674125418,4,7,0,1,12,2,0.5570000000000022
836,836,0.2328999999999936,0.0,1,7,0,0,0,-1,0.0
983,983,0.2048999999999949,0.0,1,7,0,0,0,-1,0.0
116,116,0.2123399999999997,0.0,1,8,0,0,0,-1,0.0
170,170,0.25332,0.0,1,8,0,0,0,-1,0.0
252,252,0.3501789999999999,0.0,1,8,0,0,0,-1,0.0
312,312,0.195579,0.0,1,8,0,0,0,-1,0.0
340,340,0.214206,0.0,1,8,0,0,0,-1,0.0
470,473,4.39029,0.0403353180523588,4,8,0,1,3,0,0.0
479,483,13.46518,0.1454349330083385,5,8,0,0,0,-1,0.0
494,497,2.587200000000001,0.0137065711162094,4,8,0,1,1,0,0.0
562,570,17.141999999999996,0.1940477689004004,9,8,0,1,34,0,0.0
604,604,0.2961000000000027,0.0,1,8,0,0,0,-1,0.0
636,640,3.594900000000002,0.0717446418983306,5,8,0,0,0,-1,0.0
655,655,0.2310000000000016,0.0,1,8,0,0,0,-1,0.0
676,679,2.544400000000003,0.0243223072540949,4,8,0,1,11,0,0.19369999999999976
724,726,1.6632999999999996,0.0172017786670287,3,8,0,0,0,-1,0.0
730,730,0.2234999999999942,0.0,1,8,0,0,0,-1,0.0
741,744,4.813099999999999,0.0886556531062773,4,8,0,1,5,0,0.09500000000000597
934,936,1.0914999999999964,0.0,3,8,0,1,12,1,0.0
1027,1027,0.2309999999999945,0.0,1,8,0,0,0,-1,0.0
289,290,0.7394599999999993,0.0,2,9,0,0,0,-1,0.0
390,390,0.2123000000000008,0.0,1,9,0,0,0,-1,0.0
431,434,2.5853199999999994,0.0449255560117106,4,9,0,0,0,-1,0.0
465,467,1.20885,0.0,3,9,0,1,20,2,0.5233999999999996
530,530,0.37256,0.0,1,9,0,0,0,-1,0.0
539,548,25.06386,0.26465394884536,10,9,0,0,0,-1,0.0
568,570,1.0412,0.0130244994552933,3,9,0,0,0,-1,0.0
572,572,0.1974000000000018,0.0,1,9,0,1,10,3,0.0
581,581,0.2384000000000021,0.0,1,9,0,0,0,-1,0.0
598,598,0.3167000000000008,0.0,1,9,0,1,3,0,0.0
601,601,0.2216000000000022,0.0,1,9,0,1,3,3,0.0
615,615,0.2571000000000012,0.0,1,9,0,1,5,1,0.0
647,652,9.9467,0.1262082386899506,6,9,0,0,0,-1,0.0
657,657,0.2290999999999954,0.0,1,9,0,0,0,-1,0.0
